LA,Headroom (%),No. Networks
E09000004,-1.8245853872534872,208.32908704883226
E07000202,-2.0486085431475125,128.84288747346073
E08000028,-2.4129549916044257,278.39915074309977
E09000021,-5.596291893883365,141.6348195329087
E09000033,-5.718135236062065,261.4416135881104
E07000027,-5.865714192739931,70.50530785562633
E06000033,-6.0349640041324335,170.44585987261146
E07000103,-6.82570559487693,83.94904458598727
E06000038,-8.057365851012902,147.57324840764332
E08000022,-8.58758146481587,208.1464968152866
E06000001,-9.85069364619466,91.76645435244161
E09000020,-9.935362414930678,187.5583864118896
E06000002,-10.184367443508128,132.16348195329087
E08000027,-11.347779377214593,289.7770700636943
E06000039,-11.350039174773023,113.104033970276
E07000117,-11.964699153621956,86.15074309978769
E08000004,-12.047407034450213,203.15286624203821
E06000021,-12.475138623976509,240.2420382165605
E08000036,-12.505477165434423,326.5541401273885
E07000229,-13.998225194064869,105.95753715498938
E08000005,-14.81692166571036,197.1507430997877
E08000019,-14.86009642675588,508.7176220806794
E08000014,-14.892346451406402,268.7855626326964
W06000019,-16.01320580783328,68.66029723991507
E08000023,-16.098766466899047,151.9171974522293
W06000015,-17.431436958578875,323.95329087048833
E08000007,-17.662222461724728,272.1783439490446
E07000120,-18.140689642498987,77.40552016985139
E08000001,-18.75076121392841,262.7664543524416
E08000032,-19.118122503675842,454.416135881104
W06000011,-19.756289379561387,236.87685774946922
E06000012,-19.79716112994706,154.10828025477707
E08000035,-20.11717258824731,736.1188959660298
E08000008,-21.16781180335895,215.171974522293
E08000024,-21.278319327909674,272.1783439490446
E08000010,-21.839959486884275,302.755838641189
E06000008,-23.61610503030036,127.64543524416136
E07000236,-23.918539942055624,76.56900212314225
E08000034,-24.021972670019803,389.58174097664545
E08000015,-24.26686346678676,314.50955414012736
E08000018,-24.518448748621122,247.9596602972399
E06000030,-25.237097710469563,202.9171974522293
E08000011,-26.0523921021029,139.47346072186838
E08000013,-27.649252298545722,172.4692144373673
E06000006,-27.665695624298355,118.35031847133757
E06000029,-28.88129617310799,147.08492569002124
E07000087,-29.13798538374224,105.73036093418258
E07000123,-30.34753205681764,128.11464968152868
W06000018,-30.396437831932644,166.45010615711251
W06000022,-31.394633898428452,141.6263269639066
E08000002,-31.757004041833532,176.84501061571126
E08000016,-33.06580052496301,231.78343949044586
E07000090,-33.42094548749318,118.01486199575372
E08000009,-34.47944433510367,208.69851380042462
W06000020,-35.301158893109,86.61146496815287
E07000126,-36.03384558518511,103.29299363057325
E06000007,-37.24787688720269,192.98938428874735
E06000040,-37.5783309352312,134.48832271762208
E06000004,-38.53224391231445,182.2484076433121
E07000214,-40.542426088878045,75.8683651804671
E07000092,-43.61126602016343,83.07855626326963
E07000086,-49.53292234870085,116.6900212314225
E06000041,-49.859385803242716,139.59023354564755
E06000036,-51.593700172163636,102.18471337579618
